84;43;2022-01-08 00:00:00.000;1.98
85;45;2022-01-08 00:00:00.000;1.98
86;47;2022-01-09 00:00:00.000;3.96
87;51;2022-01-10 00:00:00.000;6.94
88;57;2022-01-13 00:00:00.000;17.91
89;7;2022-01-18 00:00:00.000;18.86
90;21;2022-01-26 00:00:00.000;0.99
91;22;2022-02-08 00:00:00.000;1.98
92;24;2022-02-08 00:00:00.000;1.98
93;26;2022-02-09 00:00:00.000;3.96
94;30;2022-02-10 00:00:00.000;5.94
95;36;2022-02-13 00:00:00.000;8.91
96;45;2022-02-18 00:00:00.000;21.86
97;59;2022-02-26 00:00:00.000;1.99
98;1;2022-03-11 00:00:00.000;3.98
99;3;2022-03-11 00:00:00.000;3.98
100;5;2022-03-12 00:00:00.000;3.96
101;9;2022-03-13 00:00:00.000;5.94
102;15;2022-03-16 00:00:00.000;9.91
103;24;2022-03-21 00:00:00.000;15.86
104;38;2022-03-29 00:00:00.000;0.99
105;39;2022-04-11 00:00:00.000;1.98
106;41;2022-04-11 00:00:00.000;1.98
107;43;2022-04-12 00:00:00.000;3.96
108;47;2022-04-13 00:00:00.000;5.94
109;53;2022-04-16 00:00:00.000;8.91
110;3;2022-04-21 00:00:00.000;13.86
111;17;2022-04-29 00:00:00.000;0.99
112;18;2022-05-12 00:00:00.000;1.98
113;20;2022-05-12 00:00:00.000;1.98
114;22;2022-05-13 00:00:00.000;3.96
115;26;2022-05-14 00:00:00.000;5.94
116;32;2022-05-17 00:00:00.000;8.91
117;41;2022-05-22 00:00:00.000;13.86
118;55;2022-05-30 00:00:00.000;0.99
119;56;2022-06-12 00:00:00.000;1.98
120;58;2022-06-12 00:00:00.000;1.98
121;1;2022-06-13 00:00:00.000;3.96
122;5;2022-06-14 00:00:00.000;5.94
123;11;2022-06-17 00:00:00.000;8.91
124;20;2022-06-22 00:00:00.000;13.86
125;34;2022-06-30 00:00:00.000;0.99
126;35;2022-07-13 00:00:00.000;1.98
127;37;2022-07-13 00:00:00.000;1.98
128;39;2022-07-14 00:00:00.000;3.96
129;43;2022-07-15 00:00:00.000;5.94
130;49;2022-07-18 00:00:00.000;8.91
131;58;2022-07-23 00:00:00.000;13.86
132;13;2022-07-31 00:00:00.000;0.99
133;14;2022-08-13 00:00:00.000;1.98
134;16;2022-08-13 00:00:00.000;1.98
135;18;2022-08-14 00:00:00.000;3.96
136;22;2022-08-15 00:00:00.000;5.94
137;28;2022-08-18 00:00:00.000;8.91
138;37;2022-08-23 00:00:00.000;13.86
139;51;2022-08-31 00:00:00.000;0.99
140;52;2022-09-13 00:00:00.000;1.98
141;54;2022-09-13 00:00:00.000;1.98
142;56;2022-09-14 00:00:00.000;3.96
143;1;2022-09-15 00:00:00.000;5.94
144;7;2022-09-18 00:00:00.000;8.91
145;16;2022-09-23 00:00:00.000;13.86
146;30;2022-10-01 00:00:00.000;0.99
147;31;2022-10-14 00:00:00.000;1.98
148;33;2022-10-14 00:00:00.000;1.98
149;35;2022-10-15 00:00:00.000;3.96
150;39;2022-10-16 00:00:00.000;5.94
151;45;2022-10-19 00:00:00.000;8.91
152;54;2022-10-24 00:00:00.000;13.86
153;9;2022-11-01 00:00:00.000;0.99
154;10;2022-11-14 00:00:00.000;1.98
155;12;2022-11-14 00:00:00.000;1.98
156;14;2022-11-15 00:00:00.000;3.96
157;18;2022-11-16 00:00:00.000;5.94
158;24;2022-11-19 00:00:00.000;8.91
159;33;2022-11-24 00:00:00.000;13.86
160;47;2022-12-02 00:00:00.000;0.99
161;48;2022-12-15 00:00:00.000;1.98
162;50;2022-12-15 00:00:00.000;1.98
163;52;2022-12-16 00:00:00.000;3.96
164;56;2022-12-17 00:00:00.000;5.94
165;3;2022-12-20 00:00:00.000;8.91
166;12;2022-12-25 00:00:00.000;13.86
